timestamp,price,volume,returns,volatility,moving_avg_10,moving_avg_50
2025-01-26 19:03:49,3339.232296398693,10855658898.76788,0.00021235748842629576,0.00409420441150399,3314.6803704547456,3322.460841839878
2025-01-26 20:03:32,3337.4726601937905,11013161959.120953,-0.0005269583091899177,0.002230492348488892,3318.566848871339,3321.224999382616
2025-01-26 21:03:37,3328.0174409146484,10991859630.2998,-0.002833047710597003,0.0025305469132151015,3320.8255984514917,3320.1823605592344
2025-01-26 22:03:53,3293.3806900194404,10650203187.554462,-0.010407623009838773,0.004268287797836252,3318.9879750029286,3318.653842504799
2025-01-26 23:03:36,3289.5012094314807,11918604965.614542,-0.001177962997025106,0.004260061203762394,3317.277390804519,3317.622687771602
2025-01-27 00:01:00,3236.6656039704103,13700041050.674719,-0.016061889659618633,0.00648068330897366,3310.200264471554,3315.7733639534167
2025-01-27 01:03:45,3213.11404996487,15102101776.384096,-0.007276486633852386,0.006587270647729424,3300.564372109652,3313.5322777000915
2025-01-27 02:03:44,3194.5580100259854,16432583040.16392,-0.0057750953281872075,0.006467367480918041,3288.667249026889,3311.192421818083
2025-01-27 03:02:14,3169.3003615156417,18615916752.070316,-0.007906461060050773,0.0063894167568952515,3273.9765658402976,3309.059447825837
2025-01-27 04:04:07,3178.284340769204,19247308334.410633,0.002834688489186332,0.005711433620789211,3257.9526663204165,3306.7579863762894
2025-01-27 05:03:58,3157.9155780735014,19974966871.79591,-0.006408728896412419,0.005430862456749376,3239.820994487897,3304.0065567589954
2025-01-27 06:02:20,3140.238934449356,21234527316.867844,-0.0055975668719203675,0.005138184796582007,3220.0976219134536,3300.3788552725878
2025-01-27 07:03:38,3082.0743571003895,21807120287.71087,-0.018522341313230495,0.006305710815721976,3195.5033135320277,3295.892130494137
2025-01-27 08:00:25,3080.6280470891684,25761150219.21196,-0.00046926512590106384,0.006595795628551165,3174.228049239001,3291.616165254529
2025-01-27 09:09:07,3066.620735854936,27152131815.986416,-0.004546901157855721,0.00636814227121398,3151.940001881346,3287.125711405414
2025-01-27 10:03:44,3080.328127939127,28159224552.844894,0.00446986871376831,0.006421797413086578,3136.3062542782177,3282.921363003365
2025-01-27 11:03:48,3036.4867780905956,29657893205.64225,-0.0142326882161945,0.007051335388099613,3118.6435270907905,3277.8344628536934
2025-01-27 12:02:59,3064.3923064452365,29601851333.41582,0.009190070760719316,0.008460852911578751,3105.6269567327154,3273.420154362721
2025-01-27 13:03:55,3113.710254682297,31999593100.64112,0.01609387549150676,0.010439694042056285,3100.067946049381,3269.7882738689887
2025-01-27 14:03:49,3104.672740253603,33529094715.40398,-0.002902490498306265,0.010318586869847789,3092.706785997821,3265.7572339271755
2025-01-27 15:03:45,3138.0101322940636,33030297777.32004,0.010737811946561981,0.010963111987820347,3090.7162414198774,3262.424471650642
2025-01-27 16:04:02,3128.272856545885,35457397043.02973,-0.0031030096582448374,0.010864138633764979,3089.5196336295303,3258.84420383817
2025-01-27 17:02:33,3087.6463590078633,36462929774.55241,-0.012986877871925762,0.009935459413423792,3090.0768338202774,3254.3124334975937
2025-01-27 18:01:47,3070.5697209038567,37225735986.88182,-0.005530632759864984,0.010102277758536055,3089.0710012017466,3249.013356217399
2025-01-27 19:03:50,3057.220359597594,38012131761.955124,-0.004347519359480079,0.010093115771033959,3088.1309635760126,3243.393058342397
2025-01-27 20:02:12,3074.88550801951,39808224034.93666,0.005778173093234695,0.010169445614498788,3087.586701584051,3238.02056379861
2025-01-27 21:03:33,3146.9973875315336,39468513251.03971,0.023451890915596962,0.011284160014714174,3098.6377625281443,3234.1530930481267
2025-01-27 22:08:34,3169.2247327629775,41676736155.820496,0.0070630326289780054,0.011187512306373373,3109.1210051599182,3230.7352938238387
2025-01-27 23:01:25,3174.166459712812,41480784507.93916,0.0015592857454214126,0.010264887853578328,3115.1666256629696,3227.4518349536743
2025-01-28 00:03:59,3179.8911263520895,41090353469.144066,0.0018035180926823102,0.01012348587713263,3122.6884642728187,3224.2290415657835
